,Title,Company,City,State
92,Senior Data Scientist,Altria ,United States,
93,International Unsecured Portfolio Regulatory Model Developer - AVP,Citi ,Wilmington, DE
94,Director of Strategic Data and Analytics,Dart Container ,Mason, MI
95,Data Scientist,Peraton ,United States,
96,Senior ML Platform Engineer - Artificial Intelligence Group,Bloomberg ,New York, NY
97,Data Science Fellowship - 2024,Institute for Defense Analyses ,Alexandria, VA
98,"Global Financial Crimes - Model Governance & Analytics, AVP - Hybrid (TX)",MUFG Bank Ltd ,Irving, TX
99,Data Scientist Senior Technical Specialist,Peraton ,Reston, VA
100,Chief Data Architect (Staff Level; Top Secret Clearance Required; San Diego CA),Northrop Grumman ,San Diego, CA
101,Data Architect,Booz Allen Hamilton ,United States,
102,Senior Data Scientist,Kraft Heinz Company ,Chicago, IL
103,Senior Data Scientist,Michael Page ,Chicago, IL
104,Data Scientist,MORSE Corp ,Cambridge, MA
105,Data Scientist (Cleared) - Hybrid,ICF ,Arlington, VA
106,Principal Applied Scientist - Gen AI (JoinOCI-AS),Oracle ,Austin, TX
107,Lead Data Scientist,MORSE Corp ,Cambridge, MA
108,Data Scientist,Vector Technical Resources Inc ,Arlington, VA
109,"Data Engineer, Mid",Booz Allen Hamilton ,Kirtland AFB, NM
110,Machine Learning Infrastructure/ Platform Engineer,Takeda Pharmaceutical ,Boston, MA
111,Python Developer with Artificial Intelligence (6 months) - (NO C2C),OpTech LLC ,Remote,
112,Sr. Business Process Analyst - Data Analytics,The City of Fort Worth ,Fort Worth, TX
113,Senior Data Analyst,System One ,Tulsa, OK
114,Real World Data Science Manager,Sanofi ,Cambridge, MA
115,"Business Intelligence, Machine Learning and Database Engineer",Keolis North America ,Phoenix, AZ
116,Predictive Modeling Analyst,NJM Insurance ,Trenton, NJ
117,Statistical Programmer,Talentech Consulting LLC ,United States,
118,"Manager, Product Manager, Machine Learning Experience",Capital One ,Chicago, IL
119,Senior Research Data Analyst,Leidos ,San Diego, CA
120,Postdoctoral Appointee: Surrogate Modeling of Stochastic Dynamical Systems in Epidemiology - Hybrid,Sandia National Laboratories ,Albuquerque, NM
121,Senior Data Analyst,Systems Planning and Analysis Inc ,Washington, DC
122,Senior Data Architect #TS999,CRL Technologies ,Lexington Park, MD
123,Senior Machine Learning Design Engineer,ASML ,San Jose, CA
124,AI/ML Developer - REMOTE,Michael Baker International ,Moon, PA
125,Senior Demand Planning Data Analyst,Kiss Products ,Port Washington, NY
126,Computational Biologist/Data Scientist,Kelly ,Gaithersburg, MD
127,ML Engineer 3,Comcast ,Philadelphia, PA
128,Data Scientist,ALTA IT Services ,Washington, DC
129,Head of US Data Science,Kooth USA ,Remote,
130,Data Scientist - Python,CACI ,Denver, CO
131,Senior Data Scientist,Resolution Technologies ,Plano, TX
132,Data Scientist II,Cencora ,Conshohocken, PA
133,Architect - Data Engineering and Analytics,The Travelers Companies Inc ,Hartford, CT
